  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
066700 99999 201701021200 300   5 ***  11 BKN * * *  5.0 10 ** ** ** ** ** ** ** 2   32   28 1024.4 *****  971.4 *** ***  0.00  0.00 ***** ***** ** 
066700 99999 201701021220 220   8 ***   9 *** * * *  5.0 ** ** ** ** ** ** ** ** *   32   28 ****** 30.18 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701021250 990   7 ***   9 *** * * *  5.0 ** ** ** ** ** ** ** ** *   32   28 ****** 30.18 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701021300 210   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   33   29 1024.1 *****  971.2 *** ***  0.00 ***** ***** ***** ** 
066700 99999 201701021320 190   6 ***  10 *** * * *  5.0 ** ** ** ** ** ** ** ** *   34   30 ****** 30.15 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701021350 990   6 ***  11 *** * * *  5.0 ** ** ** ** ** ** ** ** *   34   30 ****** 30.15 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701021400 210   6 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   34   29 1023.7 *****  970.9 *** ***  0.00 ***** ***** ***** ** 
066700 99999 201701021420 990   6 ***  11 *** * * *  5.0 ** ** ** ** ** ** ** ** *   34   30 ****** 30.15 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701021450 260   6 ***  45 *** * * *  4.4 ** ** ** ** ** ** ** ** *   34   30 ****** 30.15 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701021500 260   5 ***  45 BKN * * *  4.4 10 ** ** ** ** ** ** ** 2   34   29 1023.7 *****  971.0 *** ***  0.00 ***** ***** ***** ** 
066700 99999 201701021520 270   5 ***  43 *** * * *  4.4 ** ** ** ** ** ** ** ** *   34   30 ****** 30.15 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701021550 990   2 ***  55 *** * * *  3.8 16 ** ** ** ** ** ** ** *   34   30 ****** 30.18 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701021600 350   3 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   33   29 1023.9 *****  971.1 *** ***  0.00 ***** ***** ***** ** 
066700 99999 201701021620 310   5 ***  12 *** * * *  1.6 71 ** ** ** ** ** ** ** *   34   30 ****** 30.18 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701021650 990   5 ***  13 *** * * *  1.2 73 ** ** ** ** ** ** ** *   32   30 ****** 30.18 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701021700 360   3 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   32   31 1024.8 *****  971.9 *** ***  0.01 ***** ***** ***** ** 
066700 99999 201701021720 350   2 ***   4 OBS * * *  0.6 75 ** ** ** ** ** ** ** *   32   32 ****** 30.21 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701021750 330   3 ***   4 *** * * *  0.9 73 ** ** ** ** ** ** ** *   32   32 ****** 30.21 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701021800 320   3 ***   4 OVC * * *  0.9 73 ** ** ** ** ** ** ** 7   32   32 1025.2 *****  972.2  34 ***  0.04 ***** *****  0.08 ** 
066700 99999 201701021820 210   1 ***   4 *** * * *  0.8 73 ** ** ** ** ** ** ** *   32   32 ****** 30.21 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701021850 330   2 ***   4 *** * * *  0.6 75 ** ** ** ** ** ** ** *   32   32 ****** 30.21 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701021900 330   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   32   32 1025.8 *****  972.8 *** ***  0.04 ***** ***** ***** ** 
066700 99999 201701021920 990   2 ***   4 *** * * *  0.6 75 ** ** ** ** ** ** ** *   32   32 ****** 30.24 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701021950 330   3 ***   4 *** * * *  1.1 73 ** ** ** ** ** ** ** *   32   32 ****** 30.24 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701022000 330   5 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   32   31 1026.1 *****  973.1 *** ***  0.04 ***** ***** ***** ** 
066700 99999 201701022020 290   1 ***   4 *** * * *  1.9 71 ** ** ** ** ** ** ** *   32   30 ****** 30.24 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701022050 340   3 ***  45 *** * * *  3.1 71 ** ** ** ** ** ** ** *   32   30 ****** 30.24 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701022100 350   5 *** *** BKN * * *  3.1 71 ** ** ** ** ** ** ** 7   32   31 1026.8 *****  973.7 *** ***  0.00 ***** ***** ***** ** 
066700 99999 201701022120 340   2 ***  15 *** * * *  3.1 71 ** ** ** ** ** ** ** *   32   30 ****** 30.24 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701022150 990   1 ***  15 *** * * *  3.1 10 ** ** ** ** ** ** ** *   30   30 ****** 30.24 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701022200 330   3 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   30   29 1027.2 *****  973.9 *** ***  0.00 ***** ***** ***** ** 
066700 99999 201701022220 990   1 ***  50 *** * * *  3.1 10 ** ** ** ** ** ** ** *   30   28 ****** 30.27 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701022250 310   2 *** 150 *** * * *  3.1 11 ** ** ** ** ** ** ** *   28   27 ****** 30.27 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701022300 360   5 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   28   27 1028.1 *****  974.5 *** ***  0.00 ***** ***** ***** ** 
066700 99999 201701022320 990   1 ***   6 *** * * *  0.9 10 ** ** ** ** ** ** ** *   28   28 ****** 30.27 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701022350 310   2 ***   4 *** * * *  0.8 10 ** ** ** ** ** ** ** *   30   30 ****** 30.27 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701030000 340   5 ***   4 OVC * * *  0.8 10 ** ** ** ** ** ** ** 7   30   30 1028.2 *****  974.8 *** ***  0.00  0.08 ***** ***** ** 
066700 99999 201701030020 990   1 ***   3 *** * * *  1.4 10 ** ** ** ** ** ** ** *   30   28 ****** 30.27 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701030050 990   1 ***   3 *** * * *  0.6 11 ** ** ** ** ** ** ** *   27   27 ****** 30.27 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701030100 350   3 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   26   25 1028.6 *****  974.7 *** ***  0.00 ***** ***** ***** ** 
066700 99999 201701030120 320   2 ***  30 *** * * *  1.2 10 ** ** ** ** ** ** ** *   28   27 ****** 30.27 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701030150 310   2 ***  25 *** * * *  1.2 11 ** ** ** ** ** ** ** *   27   27 ****** 30.30 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701030200 340   3 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   26   26 1029.0 *****  975.2 *** ***  0.00 ***** ***** ***** ** 
066700 99999 201701030220 320   3 ***   2 *** * * *  0.6 11 ** ** ** ** ** ** ** *   27   27 ****** 30.30 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701030250 310   3 ***   2 OBS * * *  0.4 11 ** ** ** ** ** ** ** *   27   27 ****** 30.30 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701030300 320   5 ***   4 OBS * * *  0.4 49 ** ** ** ** ** ** ** 4   26   26 1029.1 *****  975.3 *** ***  0.00 ***** ***** ***** ** 
066700 99999 201701030320 300   3 ***  40 *** * * *  0.8 11 ** ** ** ** ** ** ** *   25   25 ****** 30.30 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701030350 270   2 ***  40 *** * * *  1.1 11 ** ** ** ** ** ** ** *   25   23 ****** 30.30 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701030400 300   3 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   23   23 1029.6 *****  975.3 *** ***  0.00 ***** ***** ***** ** 
066700 99999 201701030420 280   3 ***   3 *** * * *  2.2 11 ** ** ** ** ** ** ** *   23   21 ****** 30.30 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701030450 330   2 ***   3 *** * * *  2.8 10 ** ** ** ** ** ** ** *   25   23 ****** 30.30 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701030500 290   5 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   24   22 1030.0 *****  975.8 *** ***  0.00 ***** ***** ***** ** 
066700 99999 201701030520 280   3 ***   4 *** * * *  2.8 10 ** ** ** ** ** ** ** *   25   23 ****** 30.30 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701030550 230   2 ***   4 *** * * *  2.5 10 ** ** ** ** ** ** ** *   25   23 ****** 30.33 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701030600 230   2 ***   4 BKN * * *  2.5 10 ** ** ** ** ** ** ** 2   25   24 1030.2 *****  976.2 ***  22  0.00 *****  0.14  0.08  1 
066700 99999 201701030620 310   1 ***   3 *** * * *  2.2 10 ** ** ** ** ** ** ** *   25   23 ****** 30.33 ****** *** *** ***** ***** ***** ***** ** 
