ID	Mission	nPoints	Engine	Fuel	Sulfur	Aromatics	Naph	Hydrogen	TempC	ColdEIn	HotEIn	VolEIn	mBC	ColdV	HotV	VolV	Org_Fract	SO4_Fract	mOrg	mSO4	Engine2	Engine3	N1	N2	EGT	FF	ColdGMD	ColdVMD	HotGMD	HotVMD
68	AAFEX-II	165	3	FTS	1083	2.1	0	15	16.1	1.68E+16	6.13E+13	1.68E+16	8.955	54.0377	1.89175	52.1	0.812	0.188	50.80357901	11.77156099	0	1	NA	NA	NA	0.341562138	13.6162	22.599	17.6134	144.669
69	AAFEX-II	300	2	JP-8	188	21.8	1.3	13.5	16.7	1.69E+16	1.23E+14	1.68E+16	5.365	56.653	1.50992	55.1	0.776	0.224	51.32944643	14.84224957	1	0	NA	NA	NA	0.341562138	15.655	23.7802	15.9467	120.096
70	AAFEX-II	140	2	JP-8	188	21.8	1.3	13.5	27.8	7.29E+15	1.43E+14	7.14E+15	5.300	13.5924	1.24033	12.4	0.862	0.138	12.772566	2.049918	1	0	NA	NA	NA	0.341562138	11.7001	20.4667	16.1688	59.4341
71	AAFEX-II	130	3	BlendHRJ	276	10.2	0.65	14.4	27.8	3.99E+15	8.05E+13	3.91E+15	6.506	6.44601	0.615404	5.8	0.864	0.136	6.042628036	0.954099164	0	1	NA	NA	NA	0.341562138	10.2569	22.947	16.0715	59.5716
72	AAFEX-II	60	2	JP-8	188	21.8	1.3	13.5	27.8	3.24E+15	1.61E+14	3.07E+15	3.007	8.46189	NA	NA	0.890	0.110	NA	NA	1	0	NA	NA	NA	0.341562138	10.9276	32.4725	NA	NA
73	AAFEX-II	230	3	BlendHRJ	276	10.2	0.65	14.4	28.3	2.52E+15	1.02E+14	2.42E+15	3.672	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	0.341562138	NA	NA	NA	NA
74	AAFEX-II	120	3	JP-8	188	21.8	1.3	13.5	29.4	1.49E+15	2.57E+14	1.24E+15	5.034	11.6042	NA	NA	0.892	0.108	NA	NA	0	1	NA	NA	NA	0.341562138	11.4904	46.1013	NA	NA
75	ACCESS-I	540	2	BlendHEFA	500	8	0.9	14.4	19.0	4.57E+16	NA	NA	4.990	40.8023	24.6996	16.1	0.786	0.214	15.19550563	4.127734366	1	0	52.50	NA	788	0.341562138	12.9146	17.3053	16.6613	75.3834
76	ACCESS-I	600	2	JP-8	800	16	1.4	13.9	14.7	5.12E+16	3.18E+15	4.81E+16	15.410	64.6197	45.1542	19.5	0.688	0.312	16.07626886	7.282331136	1	0	52.50	NA	777	0.341562138	13.9773	20.5662	18.5304	52.7045
77	ACCESS-I	540	3	BlendHEFA	500	8	0.9	14.4	15.1	1.26E+16	2.25E+15	1.03E+16	1.90185	27.5641	19.2249	8.3	0.816	0.184	8.163217222	1.843822778	0	1	53.00	NA	772	0.341562138	17.0484	23.3292	18.2233	59.0354
